id,source,group,group_en,group_ru,group_he,equipment,name_en,name_ru,name_he,movement_type,category,has_image,has_technique
mm_lying_one_arm_lateral_raise_449,mm,shoulders,Shoulders,Плечи,כתפיים,dumbbells,Lying One-Arm Lateral Raise,Мах одной рукой лежа,הרמת צד אחד בשכיבה,isolation,strength,yes,yes
mm_lying_prone_quadriceps_450,mm,legs,Legs,Ноги,רגליים,bodyweight,Lying Prone Quadriceps,Разгибание четырехглавой мышцы лежа на животе,הרחבת שריר הירך בשכיבה על הבטן,isolation,stretching,yes,yes
mm_lying_rear_delt_raise_451,mm,shoulders,Shoulders,Плечи,כתפיים,dumbbells,Lying Rear Delt Raise,Подъем рук с гантелями лежа для задних дельт,הרמת ידיים עם משקולות שכיבה לשריר הטרפז האחורי,isolation,strength,yes,yes
mm_lying_supine_dumbbell_curl_452,mm,elbow_flexors,Elbow Flexors,Сгибатели локтя,כופפי מרפק,dumbbells,Lying Supine Dumbbell Curl,Сгибание рук с гантелями лежа на спине,כיפוף ידיים עם משקולות בשכיבה על הגב,isolation,strength,yes,yes
mm_lying_t_bar_row_453,mm,back,Back,Спина,גב,machine,Lying T-Bar Row,Тяга Т-образного грифа лежа,משיכת T בר עם משקולות בשכיבה,isolation,strength,yes,yes
mm_lying_triceps_press_454,mm,triceps,Triceps,Разгибатели локтя,פושטי מרפק,ez_bar,Lying Triceps Press,Французский жим лежа,לחיצת טריצפס שכיבה,isolation,strength,yes,yes
mm_machine_bench_press_455,mm,chest,Chest,Грудь,חזה,machine,Machine Bench Press,Жим лежа на тренажере,לחיצת חזה מכונה,isolation,strength,yes,yes
mm_machine_bicep_curl_456,mm,elbow_flexors,Elbow Flexors,Сгибатели локтя,כופפי מרפק,machine,Machine Bicep Curl,Сгибание рук на бицепс в тренажере,כיפוף בייספ במכונה,isolation,strength,yes,yes
mm_machine_preacher_curls_457,mm,elbow_flexors,Elbow Flexors,Сгибатели локтя,כופפי מרפק,machine,Machine Preacher Curls,Сгибания рук на скамье для preacher curls на тренажере,כפיפות זרועות על מכונת פריצ'ר,isolation,strength,yes,yes
mm_machine_shoulder_military_press_458,mm,shoulders,Shoulders,Плечи,כתפיים,machine,Machine Shoulder (Military) Press,Жим плеч сидя на тренажере,לחיצת כתפיים ישיבה על מכונה,isolation,strength,yes,yes
mm_machine_triceps_extension_459,mm,triceps,Triceps,Разгибатели локтя,פושטי מרפק,machine,Machine Triceps Extension,Разгибания рук на трицепс на тренажере,הרחבת טריצפס על מכונה,isolation,strength,yes,yes
mm_medicine_ball_chest_pass_460,mm,chest,Chest,Грудь,חזה,medicine_ball,Medicine Ball Chest Pass,Передача мяча для фитнеса на грудь,העברת כדור רפואי לחזה,isolation,plyometrics,yes,yes
mm_medicine_ball_full_twist_461,mm,abdominals,Abdominals,Пресс,בטן,medicine_ball,Medicine Ball Full Twist,Полный поворот с мячом для фитнеса,סיבוב מלא עם כדור רפואי,isolation,plyometrics,yes,yes
mm_medicine_ball_scoop_throw_462,mm,shoulders,Shoulders,Плечи,כתפיים,medicine_ball,Medicine Ball Scoop Throw,Бросок мяча для фитнеса снизу вверх,זריקת כדור רפואי מלמטה למעלה,isolation,plyometrics,yes,yes
mm_middle_back_shrug_463,mm,back,Back,Спина,גב,dumbbells,Middle Back Shrug,Подъём средней части спины,הרמת חזה אמצעי,isolation,strength,yes,yes
mm_middle_back_stretch_464,mm,back,Back,Спина,גב,other,Middle Back Stretch,Растяжка средней части спины,מתיחת חזה אמצעי,isolation,stretching,yes,yes
mm_mixed_grip_chin_465,mm,back,Back,Спина,גב,other,Mixed Grip Chin,Подтягивание с разным хватом,מתח עם אחיזה מעורבת,isolation,strength,yes,yes
mm_monster_walk_466,mm,legs,Legs,Ноги,רגליים,bands,Monster Walk,Ходьста монстра,הליכת מפלצת,isolation,strength,yes,yes
mm_mountain_climbers_467,mm,legs,Legs,Ноги,רגליים,other,Mountain Climbers,Горные альпинисты,טיפוס הרים,isolation,plyometrics,yes,yes
mm_moving_claw_series_468,mm,legs,Legs,Ноги,רגליים,other,Moving Claw Series,Серия движущихся когтей,סדרת טופרים נעים,isolation,plyometrics,yes,yes
mm_muscle_snatch_469,mm,legs,Legs,Ноги,רגליים,barbell,Muscle Snatch,Рывок на мышцах,משיכת שרירים,isolation,olympic weightlifting,yes,yes
mm_muscle_up_470,mm,back,Back,Спина,גב,other,Muscle Up,Масл-ап,מאסל-אפ,isolation,strength,yes,yes
mm_narrow_stance_hack_squats_471,mm,legs,Legs,Ноги,רגליים,machine,Narrow Stance Hack Squats,Приседания хэк-сquat узкой постановкой ног,סקווט חק סטנס צר,isolation,strength,yes,yes
mm_narrow_stance_leg_press_472,mm,legs,Legs,Ноги,רגליים,machine,Narrow Stance Leg Press,Жим ногами узкой постановкой ног,לחישת רגליים במרחק צמוד,isolation,strength,yes,yes
mm_narrow_stance_squats_473,mm,legs,Legs,Ноги,רגליים,barbell,Narrow Stance Squats,Приседания узкой постановкой ног,סקווט עם רגליים צמודות,isolation,strength,yes,yes
mm_natural_glute_ham_raise_474,mm,legs,Legs,Ноги,רגליים,bodyweight,Natural Glute Ham Raise,Разгибание голени-ягодиц лежа,פעימת ישיבה לשרירי הירך והישבן,isolation,strength,yes,yes
mm_neck_smr_475,mm,back,Back,Спина,גב,other,Neck-SMR,Самомассаж шеи,עיסוי עצמי של הצוואר,isolation,stretching,yes,yes
mm_neck_press_476,mm,chest,Chest,Грудь,חזה,barbell,Neck Press,Наклоны шеи,הטיות צוואר,isolation,strength,yes,yes
mm_oblique_crunches_477,mm,abdominals,Abdominals,Пресс,בטן,bodyweight,Oblique Crunches,Наклоны для косых мышц живота,כפיפות לצד עבור שרירי הבטן האלכסוניים,isolation,strength,yes,yes
mm_oblique_crunches_on_the_floor_478,mm,abdominals,Abdominals,Пресс,בטן,bodyweight,Oblique Crunches - On The Floor,Наклоны в сторону - На полу,כפיפות אלכסוניות - על הרצפה,isolation,strength,yes,yes
mm_olympic_squat_479,mm,legs,Legs,Ноги,רגליים,barbell,Olympic Squat,Олимпийский присед,סקוואט אולימפי,isolation,olympic weightlifting,yes,yes
mm_on_your_back_quad_stretch_480,mm,legs,Legs,Ноги,רגליים,other,On-Your-Back Quad Stretch,Растяжка квадрицепса - Лёжа на спине,מתיחת רגליים - שכיבה על הגב,isolation,stretching,yes,yes
mm_on_your_side_quad_stretch_481,mm,legs,Legs,Ноги,רגליים,other,On Your Side Quad Stretch,Растяжка квадрицепса на боку,מתיחת שרירי הירך בצד,isolation,stretching,yes,yes
mm_one_arm_dumbbell_row_482,mm,back,Back,Спина,גב,dumbbells,One-Arm Dumbbell Row,Тяга гантели одной рукой,משיכת דמבל ביד אחת,isolation,strength,yes,yes
mm_one_arm_flat_bench_dumbbell_flye_483,mm,chest,Chest,Грудь,חזה,dumbbells,One-Arm Flat Bench Dumbbell Flye,Мах гантелями на плоской скамье одной рукой,פליי עם דמבל על ספסל שטוח ביד אחת,isolation,strength,yes,yes
mm_one_arm_high_pulley_cable_side_bends_484,mm,abdominals,Abdominals,Пресс,בטן,cable,One-Arm High-Pulley Cable Side Bends,Наклоны в сторону с тросом на верхнем блоке одной рукой,הטיה צדנית עם כבל עליון ביד אחת,isolation,strength,yes,yes
mm_one_arm_incline_lateral_raise_485,mm,shoulders,Shoulders,Плечи,כתפיים,dumbbells,One-Arm Incline Lateral Raise,Отведение руки в сторону на наклонной скамье одной рукой,הרמת צד על מוט מוגבה ביד אחת,isolation,strength,yes,yes
mm_one_arm_kettlebell_clean_486,mm,legs,Legs,Ноги,רגליים,kettlebells,One-Arm Kettlebell Clean,Рывок гири одной рукой,נקישת קטל בלחישה ביד אחת,isolation,strength,yes,yes
mm_one_arm_kettlebell_clean_and_jerk_487,mm,shoulders,Shoulders,Плечи,כתפיים,kettlebells,One-Arm Kettlebell Clean and Jerk,Одноручное гиревое упражнение «рывок и толчок»,קטלבל זרוע אחת נקישה ודחיפה,isolation,strength,yes,yes
mm_one_arm_kettlebell_floor_press_488,mm,chest,Chest,Грудь,חזה,kettlebells,One-Arm Kettlebell Floor Press,Одноручное гиревое жим лежа,קטלבל זרוע אחת דחיפה מהרצפה,isolation,strength,yes,yes
mm_one_arm_kettlebell_jerk_489,mm,shoulders,Shoulders,Плечи,כתפיים,kettlebells,One-Arm Kettlebell Jerk,Одноручное гиревое упражнение «рывок»,קטלבל זרוע אחת נקישה,isolation,strength,yes,yes
mm_one_arm_kettlebell_military_press_to_the_side_490,mm,shoulders,Shoulders,Плечи,כתפיים,kettlebells,One-Arm Kettlebell Military Press To The Side,Одноармейское жим гири в стороны,דחיפת קטלבה חד-צדדית לצד,isolation,strength,yes,yes
mm_one_arm_kettlebell_para_press_491,mm,shoulders,Shoulders,Плечи,כתפיים,kettlebells,One-Arm Kettlebell Para Press,Одноармейский параЖим гири,דחיפת קטלבה חד-צדדית פארה,isolation,strength,yes,yes
mm_one_arm_kettlebell_push_press_492,mm,shoulders,Shoulders,Плечи,כתפיים,kettlebells,One-Arm Kettlebell Push Press,Одноармейский толчок гири,דחיפת קטלבה חד-צדדית פרס,isolation,strength,yes,yes
mm_one_arm_kettlebell_row_493,mm,back,Back,Спина,גב,kettlebells,One-Arm Kettlebell Row,Одноручная тяга гири,משיכת קטלב ביד אחת,isolation,strength,yes,yes
mm_one_arm_kettlebell_snatch_494,mm,shoulders,Shoulders,Плечи,כתפיים,kettlebells,One-Arm Kettlebell Snatch,Одноручная рывок гири,הנפת קטלב ביד אחת,isolation,strength,yes,yes
mm_one_arm_kettlebell_split_jerk_495,mm,shoulders,Shoulders,Плечи,כתפיים,kettlebells,One-Arm Kettlebell Split Jerk,Одноручной толчок гири на одну ногу,דחיפת קטלב ביד אחת בסגנון ספליט,isolation,strength,yes,yes
mm_one_arm_kettlebell_split_snatch_496,mm,shoulders,Shoulders,Плечи,כתפיים,kettlebells,One-Arm Kettlebell Split Snatch,Одноручной гиревой сплит-рывок,סנאץ' גיירלינג עם יד אחת,isolation,strength,yes,yes
mm_one_arm_kettlebell_swings_497,mm,legs,Legs,Ноги,רגליים,kettlebells,One-Arm Kettlebell Swings,Одноручные махи гирей,נדנות גיירלינג עם יד אחת,isolation,strength,yes,yes
mm_one_arm_long_bar_row_498,mm,back,Back,Спина,גב,barbell,One-Arm Long Bar Row,Одноручная тяга длинной штанги,משיכת מוט ארוך עם יד אחת,isolation,strength,yes,yes
mm_one_arm_medicine_ball_slam_499,mm,abdominals,Abdominals,Пресс,בטן,medicine_ball,One-Arm Medicine Ball Slam,Одноручный бросок медбола,הטלת כדור רפואה ביד אחת,isolation,strength,yes,yes
mm_one_arm_open_palm_kettlebell_clean_500,mm,legs,Legs,Ноги,רגליים,kettlebells,One-Arm Open Palm Kettlebell Clean,Одноручное рывковое движение гири с открытой ладонью,נקישת קטלבל ביד אחת עם כף פתוחה,isolation,strength,yes,yes
mm_one_arm_overhead_kettlebell_squats_501,mm,legs,Legs,Ноги,רגליים,kettlebells,One-Arm Overhead Kettlebell Squats,Одноручные приседания с гирей над головой,סקווט עם קטלבל מעל הראש ביד אחת,isolation,strength,yes,yes
mm_one_arm_side_deadlift_502,mm,back,Back,Спина,גב,barbell,One-Arm Side Deadlift,Односторонняя тяга одной рукой в сторону,משיכת מתלה צד אחד עם יד אחת,isolation,strength,yes,yes
mm_one_arm_side_laterals_503,mm,shoulders,Shoulders,Плечи,כתפיים,dumbbells,One-Arm Side Laterals,Подъем одной рукой в стороны,קידום צד אחד עם יד אחת,isolation,strength,yes,yes
mm_one_legged_cable_kickback_504,mm,legs,Legs,Ноги,רגליים,cable,One-Legged Cable Kickback,Отведение ноги назад на тросе одной ногой,בעיטה אחורית בכבל על רגל אחת,isolation,strength,yes,yes
mm_one_arm_against_wall_505,mm,back,Back,Спина,גב,other,One Arm Against Wall,Отжимание от стены одной рукой,סמיכת קיר ביד אחת,isolation,stretching,yes,yes
mm_one_arm_chin_up_506,mm,back,Back,Спина,גב,other,One Arm Chin-Up,Подтягивание одной рукой,מתח ביד אחת,isolation,strength,yes,yes
mm_one_arm_dumbbell_bench_press_507,mm,chest,Chest,Грудь,חזה,dumbbells,One Arm Dumbbell Bench Press,Жим гантелей одной рукой на скамье,פעימת דמבל ביד אחת על ספה,isolation,strength,yes,yes
mm_one_arm_dumbbell_preacher_curl_508,mm,elbow_flexors,Elbow Flexors,Сгибатели локтя,כופפי מרפק,dumbbells,One Arm Dumbbell Preacher Curl,Сгибание на бицепс на скамье-preacher одной рукой с гантелью,כיפוש בייספק עם משקולת יד אחת,isolation,strength,yes,yes
mm_one_arm_floor_press_509,mm,triceps,Triceps,Разгибатели локтя,פושטי מרפק,barbell,One Arm Floor Press,Отжимания лежа одной рукой с гантелью,לחיצת חזה על הרצפה עם משקולת יד אחת,isolation,strength,yes,yes
mm_one_arm_lat_pulldown_510,mm,back,Back,Спина,גב,cable,One Arm Lat Pulldown,Тяга к груди одной рукой в блоке,משיכת גב אחורית במכונה עם יד אחת,isolation,strength,yes,yes
mm_one_arm_pronated_dumbbell_triceps_extension_511,mm,triceps,Triceps,Разгибатели локтя,פושטי מרפק,dumbbells,One Arm Pronated Dumbbell Triceps Extension,Одноарменное разгибание трицепса с гантелью в пронированном хвате,הרחבת טריצפס עם משקולת אחת באחיזה פרונטית,isolation,strength,yes,yes
mm_one_arm_supinated_dumbbell_triceps_extension_512,mm,triceps,Triceps,Разгибатели локтя,פושטי מרפק,dumbbells,One Arm Supinated Dumbbell Triceps Extension,Одноарменное разгибание трицепса с гантелью в супинированном хвате,הרחבת טריצפס עם משקולת אחת באחיזה סופינטד,isolation,strength,yes,yes
mm_one_half_locust_513,mm,legs,Legs,Ноги,רגליים,other,One Half Locust,Половина стрекозы,חצי חרדון,isolation,stretching,yes,yes
mm_one_handed_hang_514,mm,back,Back,Спина,גב,other,One Handed Hang,Подтягивание одной рукой,תלייה ביד אחת,isolation,stretching,yes,yes
mm_one_knee_to_chest_515,mm,legs,Legs,Ноги,רגליים,other,One Knee To Chest,Колено к груди,ברך לחזה,isolation,stretching,yes,yes
mm_one_leg_barbell_squat_516,mm,legs,Legs,Ноги,רגליים,barbell,One Leg Barbell Squat,Приседание со штангой на одной ноге,סקוואט עם משקולת על רגל אחת,isolation,strength,yes,yes
mm_open_palm_kettlebell_clean_517,mm,legs,Legs,Ноги,רגליים,kettlebells,Open Palm Kettlebell Clean,Рывок гири с открытой ладонью,נקישת קטלבל עם כף יד פתוחה,isolation,strength,yes,yes
mm_otis_up_518,mm,abdominals,Abdominals,Пресс,בטן,other,Otis-Up,Отис-Ап,אוטיס-אפ,isolation,strength,yes,yes
mm_overhead_cable_curl_519,mm,elbow_flexors,Elbow Flexors,Сгибатели локтя,כופפי מרפק,cable,Overhead Cable Curl,Подтягивание на блоке над головой,כפיפת כותלים מהבלוק מעל הראש,isolation,strength,yes,yes
mm_overhead_lat_520,mm,back,Back,Спина,גב,other,Overhead Lat,Тяга к подбородку,משיכה מעל הראש,isolation,stretching,yes,yes
mm_overhead_slam_521,mm,back,Back,Спина,גב,medicine_ball,Overhead Slam,Сламбол сверху,הטחה מעל הראש,isolation,plyometrics,yes,yes
mm_overhead_squat_522,mm,legs,Legs,Ноги,רגליים,barbell,Overhead Squat,Приседание со штангой над головой,סקווט עם משקולת מעל הראש,isolation,olympic weightlifting,yes,yes
mm_overhead_stretch_523,mm,abdominals,Abdominals,Пресс,בטן,other,Overhead Stretch,Растяжка над головой,מתיחה מעל הראש,isolation,stretching,yes,yes
mm_overhead_triceps_524,mm,triceps,Triceps,Разгибатели локтя,פושטי מרפק,bodyweight,Overhead Triceps,Французский жим над головой,פלקס עם משקולת מעל הראש,isolation,stretching,yes,yes
mm_pallof_press_525,mm,abdominals,Abdominals,Пресс,בטן,cable,Pallof Press,Нажатие Паллофа,לחיצת פאלוף,isolation,strength,yes,yes
mm_pallof_press_with_rotation_526,mm,abdominals,Abdominals,Пресс,בטן,cable,Pallof Press With Rotation,Пресс Паллофа с поворотом,לחיצת פלוף עם סיבוב,isolation,strength,yes,yes
mm_palms_down_dumbbell_wrist_curl_over_a_bench_527,mm,forearms,Forearms,Предплечья,אמות ידיים,dumbbells,Palms-Down Dumbbell Wrist Curl Over A Bench,Сгибание запястий со штангой на скамье ладонями вниз,"כיפוף פרק כף יד עם משקולות כפולות על ספה, כפות למטה",isolation,strength,yes,yes
mm_palms_down_wrist_curl_over_a_bench_528,mm,forearms,Forearms,Предплечья,אמות ידיים,barbell,Palms-Down Wrist Curl Over A Bench,Сгибание запястий со штангой на скамье ладонями вниз,"כיפוף פרק כף יד על ספה, כפות למטה",isolation,strength,yes,yes
mm_palms_up_barbell_wrist_curl_over_a_bench_529,mm,forearms,Forearms,Предплечья,אמות ידיים,barbell,Palms-Up Barbell Wrist Curl Over A Bench,Сгибание запястий со штангой ладонями вверх на скамье,"כיפוף פרק כף היד עם מוט משקולות, כפות כלפי מעלה, על ספסל",isolation,strength,yes,yes
mm_palms_up_dumbbell_wrist_curl_over_a_bench_530,mm,forearms,Forearms,Предплечья,אמות ידיים,dumbbells,Palms-Up Dumbbell Wrist Curl Over A Bench,Сгибание запястий с гантелями ладонями вверх на скамье,"כיפוף פרק כף היד עם משקולות, כפות כלפי מעלה, על ספסל",isolation,strength,yes,yes
mm_parallel_bar_dip_531,mm,triceps,Triceps,Разгибатели локтя,פושטי מרפק,other,Parallel Bar Dip,Отжимание на брусьях параллельных,התעמלות על מוטות מקבילים,isolation,strength,yes,yes
mm_pelvic_tilt_into_bridge_532,mm,back,Back,Спина,גב,other,Pelvic Tilt Into Bridge,Тазовый наклон в мост,הטיה אקסציה של אגן לגשר,isolation,stretching,yes,yes
mm_peroneals_smr_533,mm,legs,Legs,Ноги,רגליים,foam_roll,Peroneals-SMR,Миофасциальный релиз перонеальных мышц,שחרור מיופסיאלי של שרירי השוקה הצדדית,isolation,stretching,yes,yes
mm_peroneals_stretch_534,mm,legs,Legs,Ноги,רגליים,other,Peroneals Stretch,Растяжка перонеальных мышц,מתיחה של שרירי השוקה הצדדית,isolation,stretching,yes,yes
mm_physioball_hip_bridge_535,mm,legs,Legs,Ноги,רגליים,exercise_ball,Physioball Hip Bridge,Физибол ягодичный мост,גשר ישיבה עם כדור תרגולים,isolation,strength,yes,yes
mm_pin_presses_536,mm,triceps,Triceps,Разгибатели локтя,פושטי מרפק,barbell,Pin Presses,Жим пинками,לחיצות עם ידיים מקבילות,isolation,powerlifting,yes,yes
mm_piriformis_smr_537,mm,legs,Legs,Ноги,רגליים,foam_roll,Piriformis-SMR,Миофасциальный релиз ягодичной мышцы,שחרור פיריפורמיס,isolation,stretching,yes,yes
mm_plank_538,mm,abdominals,Abdominals,Пресс,בטן,bodyweight,Plank,Планка,ספליט,isolation,strength,yes,yes
mm_plate_pinch_539,mm,forearms,Forearms,Предплечья,אמות ידיים,other,Plate Pinch,Сжимание тарелок,מלקק מגשים,isolation,strength,yes,yes
mm_plate_twist_540,mm,abdominals,Abdominals,Пресс,בטן,other,Plate Twist,Скручивание с тарелкой,סיבוב עם מגש,isolation,strength,yes,yes
mm_platform_hamstring_slides_541,mm,legs,Legs,Ноги,רגליים,other,Platform Hamstring Slides,Слайды для задней поверхности бедра на платформе,סליידים לשרירי האחוריים על הפלטפורמה,isolation,strength,yes,yes
mm_plie_dumbbell_squat_542,mm,legs,Legs,Ноги,רגליים,dumbbells,Plie Dumbbell Squat,Приседания с гантлями Плие,סקוואט עם משקולות פלייה,isolation,strength,yes,yes
mm_plyo_kettlebell_pushups_543,mm,chest,Chest,Грудь,חזה,kettlebells,Plyo Kettlebell Pushups,Плиометрические отжимания с гирей,התרגילים הפליומטריים עם קטלן,isolation,strength,yes,yes
mm_plyo_push_up_544,mm,chest,Chest,Грудь,חזה,bodyweight,Plyo Push-up,Плиометрические отжимания,פליו-פאש אפ (סליחת פליו),isolation,plyometrics,yes,yes
mm_posterior_tibialis_stretch_545,mm,legs,Legs,Ноги,רגליים,other,Posterior Tibialis Stretch,Растяжка задней большеберцовой мышцы,מתיחת שריר השוקה האחורי,isolation,stretching,yes,yes
mm_power_clean_546,mm,legs,Legs,Ноги,רגליים,barbell,Power Clean,Рывок силовой,קלאן פאוור,isolation,strength,yes,yes
mm_power_clean_from_blocks_547,mm,legs,Legs,Ноги,רגליים,barbell,Power Clean from Blocks,Рывок со стопоров,קליעת כוח מגושים,isolation,olympic weightlifting,yes,yes
mm_power_jerk_548,mm,legs,Legs,Ноги,רגליים,barbell,Power Jerk,Толчок с выкрутом,דחיפת כוח,isolation,olympic weightlifting,yes,yes
mm_power_partials_549,mm,shoulders,Shoulders,Плечи,כתפיים,dumbbells,Power Partials,Частичные силовые движения,חלקי כוח,isolation,strength,yes,yes
mm_power_snatch_550,mm,legs,Legs,Ноги,רגליים,barbell,Power Snatch,Силовой рывок,סנאץ כוחני,isolation,olympic weightlifting,yes,yes
mm_power_snatch_from_blocks_551,mm,legs,Legs,Ноги,רגליים,barbell,Power Snatch from Blocks,Силовой рывок с упоров,סנאץ כוחני מעמדות,isolation,olympic weightlifting,yes,yes
mm_power_stairs_552,mm,legs,Legs,Ноги,רגליים,other,Power Stairs,Силовые лестницы,סולם כוחני,isolation,strongman,yes,yes
mm_preacher_curl_553,mm,elbow_flexors,Elbow Flexors,Сгибатели локтя,כופפי מרפק,barbell,Preacher Curl,Сгибание рук на скамье проповедника,כיפוש זרועות עם מכשיר הטיפוסים,isolation,strength,yes,yes
mm_preacher_hammer_dumbbell_curl_554,mm,elbow_flexors,Elbow Flexors,Сгибатели локтя,כופפי מרפק,dumbbells,Preacher Hammer Dumbbell Curl,"Сгибание рук на скамье проповедчика со штангой ""молот""","כיפוש זרועות ""מפצח אגוזים"" עם מכשיר הטיפוסים",isolation,strength,yes,yes
mm_press_sit_up_555,mm,abdominals,Abdominals,Пресс,בטן,barbell,Press Sit-Up,Сидячий жим лежа,עמידת פלנק עם דחיפה,isolation,strength,yes,yes
mm_prone_manual_hamstring_556,mm,legs,Legs,Ноги,רגליים,other,Prone Manual Hamstring,Сгибание бицепса бедра в положении лежа,מתיחת ירך בשכיבה על הבטן,isolation,strength,yes,yes
mm_prowler_sprint_557,mm,legs,Legs,Ноги,רגליים,other,Prowler Sprint,Бег с упором Праулера,ריצת פראולר,isolation,cardio,yes,yes
mm_pull_through_558,mm,legs,Legs,Ноги,רגליים,cable,Pull Through,Пролезание сквозь,משיכה לאחור,isolation,strength,yes,yes
mm_pullups_559,mm,back,Back,Спина,גב,bodyweight,Pullups,Подтягивания,מתליים,isolation,strength,yes,yes
mm_push_up_wide_560,mm,chest,Chest,Грудь,חזה,bodyweight,Push-Up Wide,Отжимания широким хватом,עמידות נמוכות רחבות,isolation,strength,yes,yes
mm_push_ups_close_triceps_position_561,mm,triceps,Triceps,Разгибатели локтя,פושטי מרפק,bodyweight,Push-Ups - Close Triceps Position,Отжимания узким хватом на трицепс,עמידות נמוכות צרות,isolation,strength,yes,yes
mm_push_ups_with_feet_elevated_562,mm,chest,Chest,Грудь,חזה,bodyweight,Push-Ups With Feet Elevated,Отжимания с приподнятыми ногами,סלילות עם רגליים מורמות,isolation,strength,yes,yes
mm_push_ups_with_feet_on_an_exercise_ball_563,mm,chest,Chest,Грудь,חזה,exercise_ball,Push-Ups With Feet On An Exercise Ball,Отжимания с ногами на фитболе,סלילות עם רגליים על כדור כושר,isolation,strength,yes,yes
mm_push_press_564,mm,shoulders,Shoulders,Плечи,כתפיים,barbell,Push Press,Жим штанги плечом,דחיפת כתפיים,isolation,olympic weightlifting,yes,yes
mm_push_press_behind_the_neck_565,mm,shoulders,Shoulders,Плечи,כתפיים,barbell,Push Press - Behind the Neck,Жим над головой сзади,דחיפת משקולות מאחורי הצוואר,isolation,olympic weightlifting,yes,yes
mm_push_up_to_side_plank_566,mm,chest,Chest,Грудь,חזה,bodyweight,Push Up to Side Plank,Отжимания в планку сбоку,סליחות לתרגיל התזוזה הצדדית,isolation,strength,yes,yes
mm_pushups_567,mm,chest,Chest,Грудь,חזה,bodyweight,Pushups,Отжимания,סליחות,isolation,strength,yes,yes
mm_pushups_close_and_wide_hand_positions_568,mm,chest,Chest,Грудь,חזה,bodyweight,Pushups (Close and Wide Hand Positions),Отжимания (узкая и широкая постановка рук),שכיבות סמיכה (תנוחות צמודות ורחוקות של הידיים),isolation,strength,yes,yes
mm_pyramid_569,mm,back,Back,Спина,גב,exercise_ball,Pyramid,Пирамида,פירמידה,isolation,stretching,yes,yes
mm_quad_stretch_570,mm,legs,Legs,Ноги,רגליים,other,Quad Stretch,Растяжка квадрицепса,מתיחת שרירי הירך,isolation,stretching,yes,yes
mm_quadriceps_smr_571,mm,legs,Legs,Ноги,רגליים,foam_roll,Quadriceps-SMR,Квадрицепс-СМР,רצועת הירך-SMR,isolation,stretching,yes,yes
mm_quick_leap_572,mm,legs,Legs,Ноги,רגליים,other,Quick Leap,Быстрый прыжок,קפיצה מהירה,isolation,plyometrics,yes,yes
mm_rack_delivery_573,mm,shoulders,Shoulders,Плечи,כתפיים,barbell,Rack Delivery,Подъём на стойку,העברה למדף,isolation,olympic weightlifting,yes,yes
mm_rack_pull_with_bands_574,mm,back,Back,Спина,גב,barbell,Rack Pull with Bands,Тяга в рамке с эспандером,משיכת מסגרת עם רצועות,isolation,powerlifting,yes,yes
mm_rack_pulls_575,mm,back,Back,Спина,גב,barbell,Rack Pulls,Тяга в рамке,משיכת מסגרת,isolation,powerlifting,yes,yes
mm_rear_leg_raises_576,mm,abdominals,Abs,Пресс,בטן,bodyweight,Rear Leg Raises,Подъемы ног назад,הרמת רגליים אחורה,isolation,stretching,yes,yes
mm_recumbent_bike_577,mm,legs,Legs,Ноги,רגליים,machine,Recumbent Bike,Велосипед лежа,אופני שכיבה,isolation,cardio,yes,yes
mm_return_push_from_stance_578,mm,shoulders,Shoulders,Плечи,כתפיים,medicine_ball,Return Push from Stance,Возвратный толчок из стойки,דחיפה חוזרת מעמידה,isolation,plyometrics,yes,yes
mm_reverse_band_bench_press_579,mm,chest,Chest,Грудь,חזה,barbell,Reverse Band Bench Press,Жим лежа с эспандером,עמידת בנץ עם רצועות הפוכות,isolation,powerlifting,yes,yes
mm_reverse_band_box_squat_580,mm,legs,Legs,Ноги,רגליים,barbell,Reverse Band Box Squat,Приседания со штангой в силовой раме с эспандерами,סקוואט עם רצועות הפוכות בתוך קופסת הסקוואט,isolation,powerlifting,yes,yes
mm_reverse_band_deadlift_581,mm,back,Back,Спина,גב,barbell,Reverse Band Deadlift,Тяга штанги со эспандерами,דדליפט עם רצועות הפוכות,isolation,powerlifting,yes,yes
mm_reverse_band_power_squat_582,mm,legs,Legs,Ноги,רגליים,barbell,Reverse Band Power Squat,Силачные приседания со эспандерами,סקוואט כוח עם רצועות הפוכות,isolation,powerlifting,yes,yes
mm_reverse_band_sumo_deadlift_583,mm,back,Back,Спина,גב,barbell,Reverse Band Sumo Deadlift,Тяга штанги в упоре сумо с эспандером,משיכת מוט מהופכת סומו עם רצועות,isolation,powerlifting,yes,yes
mm_reverse_barbell_curl_584,mm,elbow_flexors,Elbow Flexors,Сгибатели локтя,כופפי מרפק,barbell,Reverse Barbell Curl,Обратный сгибание рук со штангой,כפיפת בייספין מופכת עם מוט,isolation,strength,yes,yes
mm_reverse_barbell_preacher_curls_585,mm,elbow_flexors,Elbow Flexors,Сгибатели локтя,כופפי מרפק,ez_bar,Reverse Barbell Preacher Curls,Обратное сгибание рук на скамье Скотта со штангой,כפיפת בייספין מופכת על ספסל סקוט עם מוט,isolation,strength,yes,yes
